EffortDate,STARTTIME,ENDTIME,EffortSource,Lat_SPNAD83HARN,Long_SPNAD83HARN,LocAccuracy,CountyName,SiteName,Quantity,LifeStage,OCCPRODCODE,OccProdCode_Desc
4/28/17,10:10,10:15,WDFW survey,48.71004812,-122.3280891,33,Whatcom,LAKE LOUISE,,,8,"Nest unoccupied, no birds, nest unrepaired"
6/26/17,14:00,15:30,WDFW survey,48.71004812,-122.3280891,33,Whatcom,LAKE LOUISE,,,8,"Nest unoccupied, no birds, nest unrepaired"
7/26/17,17:30,19:30,WDFW survey,48.69287357,-121.0991346,5280,Whatcom,DIABLO LAKE,,,8,"Nest unoccupied, no birds, nest unrepaired"
6/21/17,12:00,13:30,WDFW survey,48.39822657,-121.9567167,5280,Skagit,DAY LAKE 2,,,8,"Nest unoccupied, no birds, nest unrepaired"
5/3/17,10:20,11:15,Other survey,48.96158424,-121.0339303,10,Whatcom,HOZOMEEN LAKE,2,Adult,6,"Nest occupied, active (breeding)"
6/27/17,12:19,13:17,Other survey,48.96158424,-121.0339303,10,Whatcom,HOZOMEEN LAKE,1,Adult,5,"Nest occupied, activity unknown"
7/11/17,16:11,16:55,Other survey,48.96158424,-121.0339303,10,Whatcom,HOZOMEEN LAKE,2,Adult,50,Productivity unsuccessful or nest empty
6/18/17,13:55,14:50,WDFW survey,46.9320169,-122.2791985,33,Pierce,CLEAR LAKE,,,8,"Nest unoccupied, no birds, nest unrepaired"
4/1/17,,,WDFW survey,47.60608621,-121.6787353,1320,King,CALLIGAN LAKE,,,8,"Nest unoccupied, no birds, nest unrepaired"
1/1/17,,,WDFW survey,47.60788166,-121.678497,1320,King,CALLIGAN LAKE 2,,,8,"Nest unoccupied, no birds, nest unrepaired"
1/1/17,,,WDFW survey,47.60808956,-121.6784726,1320,King,CALLIGAN LAKE 2,,,8,"Nest unoccupied, no birds, nest unrepaired"
1/1/17,,,WDFW survey,47.59896146,-121.6589717,1320,King,S.E. CALLIGAN LAKE,,,8,"Nest unoccupied, no birds, nest unrepaired"
7/27/17,,,Other survey,47.40867219,-121.7308257,1320,King,CHESTER MORSE - MASONRY POOL,2,Adult,5,"Nest occupied, activity unknown"
1/1/17,,,Other survey,47.37324006,-121.6532826,1320,King,CHESTER MORSE - CEDAR RIVER,3,Adult,3,Nest occupancy unknown
1/1/17,,,Other survey,47.37429235,-121.6915735,1320,King,CHESTER MORSE - REX RIVER,3,Adult,3,Nest occupancy unknown
4/17/17,,,Other survey,47.30025302,-121.7340389,1320,King,EAGLE LAKE,1,Adult,4,"Single bird, nest unrepaired or pair not near known nest site"
4/1/17,,,WDFW survey,47.6988465,-121.6712995,1320,King,SOUTH FORK TOLT RESERVOIR,,,8,"Nest unoccupied, no birds, nest unrepaired"
9/1/17,,,Other survey,47.28883401,-121.7636913,1320,King,HOWARD HANSON RESERVOIR: N. FORK GREEN RIVER,2,Juvenile,60,"Productivity successful, number of young known"
9/1/17,,,WDFW survey,47.66024456,-121.742058,1320,King,MUD LAKE SNOQUALMIE TREE FARM,,,8,"Nest unoccupied, no birds, nest unrepaired"
9/1/17,,,WDFW survey,47.70938848,-121.7252682,33,King,LYNCH LAKE,2,Adult,50,Productivity unsuccessful or nest empty
4/1/17,,,WDFW survey,47.583206,-121.755296,33,King,KLAUS LAKE,4,Adult,3,Nest occupancy unknown
4/1/17,,,Other survey,47.27573812,-121.767785,5280,King,EAGLE GORGE / HOWARD HANSON RES,,,8,"Nest unoccupied, no birds, nest unrepaired"
4/1/17,,,WDFW survey,47.64590875,-121.7278169,1320,King,BLACK LAKE,1,Adult,4,"Single bird, nest unrepaired or pair not near known nest site"
4/1/17,,,WDFW survey,47.43047646,-121.774894,33,King,RATTLESNAKE LAKE,2,Adult,3,Nest occupancy unknown
4/1/17,,,WDFW survey,47.57023855,-121.6756932,660,King,HANCOCK LAKE,2,Adult,3,Nest occupancy unknown
7/29/17,,,WDFW survey,47.602487,-121.67355,10,King,S.E. CALLIGAN LAKE,1,Juvenile,60,"Productivity successful, number of young known"
5/27/17,,,WDFW survey,48.1118796,-124.2461045,1320,Clallam,BEAVER LAKE 2,,,8,"Nest unoccupied, no birds, nest unrepaired"
6/22/17,,,WDFW survey,48.1118796,-124.2461045,1320,Clallam,BEAVER LAKE 2,,,8,"Nest unoccupied, no birds, nest unrepaired"
6/16/17,9:50,13:10,WDFW survey,48.13919898,-124.6445013,33,Clallam,LAKE OZETTE,1,Adult,4,"Single bird, nest unrepaired or pair not near known nest site"
7/7/17,8:00,13:00,WDFW survey,48.13919898,-124.6445013,33,Clallam,LAKE OZETTE,9,Adult,5,"Nest occupied, activity unknown"
4/21/17,,,Other survey,47.49467483,-123.2788856,33,Mason,LAKE CUSHMAN,22,Adult,5,"Nest occupied, activity unknown"
4/29/17,,,Other survey,47.49467483,-123.2788856,33,Mason,LAKE CUSHMAN,8,Adult,5,"Nest occupied, activity unknown"
8/28/17,,,Other survey,47.49467483,-123.2788856,33,Mason,LAKE CUSHMAN,2,Adult,5,"Nest occupied, activity unknown"
8/28/17,,,Other survey,47.49467483,-123.2788856,33,Mason,LAKE CUSHMAN,1,NA,5,"Nest occupied, activity unknown"
5/9/17,15:30,17:30,WDFW survey,47.02240903,-122.7983812,5280,Thurston,HICKS LAKE,1,Adult,3,Nest occupancy unknown
5/9/17,8:30,11:30,WDFW survey,46.98690385,-122.9799702,13120,Thurston,BLACK LAKE 2,,,8,"Nest unoccupied, no birds, nest unrepaired"
5/19/17,12:45,15:43,WDFW survey,46.7664657,-122.2119795,1320,Thurston,ALDER LAKE 5,,,8,"Nest unoccupied, no birds, nest unrepaired"
5/30/17,10:15,13:45,WDFW survey,46.7664657,-122.2119795,1320,Thurston,ALDER LAKE 5,,,8,"Nest unoccupied, no birds, nest unrepaired"
5/30/17,7:45,11:30,WDFW survey,46.7664657,-122.2119795,1320,Thurston,ALDER LAKE 5,,,8,"Nest unoccupied, no birds, nest unrepaired"
5/9/17,12:30,15:00,WDFW survey,46.993488,-122.7747462,5280,Thurston,PATTISON LAKE,,,8,"Nest unoccupied, no birds, nest unrepaired"
6/6/17,16:00,18:30,WDFW survey,46.993488,-122.7747462,5280,Thurston,PATTISON LAKE,,,8,"Nest unoccupied, no birds, nest unrepaired"
1/1/17,,,Other survey,48.28598253,-118.3973495,1320,Ferry,NORTH TWIN LAKE 2,,,8,"Nest unoccupied, no birds, nest unrepaired"
1/1/17,,,Other survey,48.29136164,-118.3258077,10,Ferry,ROUND LAKE,2,Juvenile,60,"Productivity successful, number of young known"
1/1/17,,,Other survey,48.24822341,-118.3869712,660,Ferry,SOUTH TWIN LAKE 2,1,Juvenile,60,"Productivity successful, number of young known"
1/1/17,,,Other survey,48.24822341,-118.3869712,660,Ferry,SOUTH TWIN LAKE 2,2,Adult,60,"Productivity successful, number of young known"
