X,Long,Lat,AreaSKM,Perimeter KM,HII,Elevation_m,County,siteid,sitenames,inMod,WDFWDetection,WDFWReproDetection,WDFWsurvey,eBirdDetect,Percent Canopy Cover,River Indicator,Perimeter Complexity,NLCDCode,Forest Type,Developed Type,Other Type,Open water Type
1441,-122.4747,46.6646,0.068,1.736261053,11,1035,Lewis,NA,NA,0,0,0,0,0,0,0,6.658257195,11,0,0,0,1
1442,-122.46038,48.77634,0.05208892,2.36902477,60,45,Whatcom,NA,NA,0,0,0,0,0,0,0,10.37998976,11,0,0,0,1
1443,-120.10145,48.39722,0.065,1.592664199,19,774,Okanogan,NA,NA,0,0,0,0,0,0,0,6.246942944,11,0,0,0,1
1444,-119.94733,47.15108,0.056,1.387043812,20,316,Grant,NA,NA,0,0,0,0,0,0,0,5.861329896,11,0,0,0,1
1445,-120.61961,47.02636,0.081,2.278696888,36,477,Kittitas,NA,NA,0,0,0,0,0,0,0,8.006524736,11,0,0,0,1
1446,-120.32176,46.42028,0.114,1.931463181,51,237,Yakima,NA,NA,0,0,0,0,0,0,0,5.720500239,11,0,0,0,1
1447,-122.25704,46.32238,0.092,1.996254377,1,1156,Cowlitz,NA,NA,0,0,0,0,0,0,0,6.581455779,11,0,0,0,1
1448,-120.12488,47.37023,0.16653413,3.994457953,37,235,Douglas,NA,NA,0,0,0,0,0,30,0,9.788276474,11,0,0,0,1
1449,-119.62121,47.06236,0.042,2.639641825,7,345,Grant,NA,NA,0,0,0,0,0,0,0,12.88013325,11,0,0,0,1
1450,-122.24638,48.35905,0.103,2.358162016,22,280,Skagit,NA,NA,0,0,0,0,0,0,0,7.347761097,11,0,0,0,1
1451,-119.57409,48.55906,0.063,1.820578541,10,710,Okanogan,NA,NA,0,0,0,0,0,0,0,7.253358525,11,0,0,0,1
1452,-119.53816,48.45939,0.042,1.481232589,23,400,Okanogan,NA,NA,0,0,0,0,0,0,0,7.227674956,11,0,0,0,1
1453,-119.51557,48.17866,0.074,2.680252596,14,754,Okanogan,NA,NA,0,0,0,0,0,0,0,9.852804497,95,0,0,0,1
1454,-119.52205,48.74952,0.045,1.51062174,14,635,Okanogan,NA,NA,0,0,0,0,0,0,0,7.121139174,11,0,0,0,1
1455,-119.47779,48.9144,0.058,1.842503224,10,623,Okanogan,NA,NA,0,0,0,0,0,0,0,7.650578218,11,0,0,0,1
1456,-122.01072,47.61458,0.044,1.447157265,42,119,King,NA,NA,0,0,0,0,0,0,0,6.899051565,11,0,0,0,1
1457,-119.45362,46.98991,0.108,5.80461394,7,334,Grant,NA,NA,0,0,0,0,0,0,0,17.66287774,11,0,0,0,1
